SR.,FILE NUMBER,CASE NUMBER,RAJACHITHHI NUMBER,RAJACHITHHI ISSUED DATE,T.P SCHEME NUMBER,FINAL PLOT NUMBER,SUB PLOT NUMBER/ TENA NUMBER,BLOCK NUMBER,TOTAL BLOCKS,ADDRESS,PDF OF RAJACHITTHI
11,CC71,BHNTS/WZ/120723/CGDCRV/A7710/R0/M1,04859/120723/A7710/R0/M1,8/14/2023,29 (NARANPURA),394/2,NA,NA,-,"ARJUN ARENA, PRAGTINAGAR, NARANPURA",https://drive.google.com/open?id=1ivlyD380uzUBCWlg6uFMAjaSVgBVQuYV
12,CC72,BHNTI/WZ/120423/CGDCRV/R0/M1,05126/120423/A7483/R0/M1,11-08-2023,29 (NARANPURA),356+357+358,NA,A+B+C+D,A+B+C+D & (E),"SURYA APPARTMENT ASSOCIATION VIBHAG-3, NARANPURA",https://drive.google.com/open?id=1wNTHqZmOvJuMSBtbRgYTSCZB0kvqcqF-
13,CC84,BHNTS/WZ/100323/CGDCRV/A7093/R1/M1,05697/100323/A7093/R1/M1,5/18/2024,29 (NARANPURA),433/1+433/2+433/3,NA,A+B+C,A+B+C,"RUDRAM SKYLINE, OPP ARJUN ICONIC, NARANPURA",https://drive.google.com/open?id=1eSDj9XZCmjqKN4W2PQ9Ytpc70yE8zzPf
14,CC93,BHNTS/WZ/040423/CGDCRV/A7346/R0/M1,08026/040423/A7346/R0/M1,4/13/2023,29 (NARANPURA),211,NA,A+B,"(A+B), (C+D)","VENUS DESHNA APPARTMENT, NR. AMBICA ROAD, NARANPURA",https://drive.google.com/open?id=1yyCO3VkmmbJWh_oikmLcenRuGp08r0zx
15,CC102,BHNTS/WZ/080423/CGDCRV/A7415/R0/M1,08112/080423/A7415/R0/M1,4/14/2023,29 (NARANPURA),402,NA,A,(A) + (B),"ARJUN ANANTA, NR. VARDAN TOWER, NARANPURA",https://drive.google.com/open?id=1sxYO1wssCnir2O8dqhfL_Pvbd6fFYCk2
16,CC104,BHNTI/WZ/160224/CGDCRV/A8139/R0/M1,05606/160224/A8139/R0/M1,4/16/2024,29 (NARANPURA),453,NA,A+B+C,A+B+C,"SOLARIS RESIDENCY, NR. UTSAV ELEGANCE, NARANPURA ",https://drive.google.com/open?id=1RmCtvos_f-D2JNH7dn_zu_2PLcBjqaPI
17,CC114,BHNTI/WZ010224/CGDCRV/A8110/R0/M1,05581/010224/A8110/R0/M1,04-08-2024,29 (NARANPURA),484+456/2,NA,A+B+C+D+E,A+B+C+D+E,"DE CASA, NR. SWAMINARAYAN BAUG, NARANPURA",https://drive.google.com/open?id=1BTHyZJl9Pb4xBhzkkyTT8jhKjfLWkxnv
18,CC118,BHNTS/WZ240323/CGDCRV/A7207/R0/M1,08154/240323/A7207/R0/M1,05-09-2023,19 (MEMNAGAR),96,10,NA,-,"THE NILAY APPARTMENT CO.OP.HOU.SOC.LTD, NARANPURA",https://drive.google.com/open?id=1iITVOk8oQijuKjOozTC6GwPI4fzLgyge
19,CC122,BHNTI/WZ/020424/CGDCRV/A8239/R0/M1,06004/020424/A8239/R0/M1,10/19/2024,29 (NARANPURA),356+357+358,NA,A+B+C+F,A+B+C+F,"SURYA APPARTMENTASSOCIATION VIBHAG-1, SOLA ROAD, NARANPURA, ABAD-380013",https://drive.google.com/open?id=1psrKihVSbrZc5W7OJ4D2xCJkyR1i-6Pq
20,CC127,BHNTI/WZ/010824/CGDCRV/A8509/R0/M1,06049/010824/A8509/R0/M1,10-09-2024,29 (NARANPURA),432/2/2+432/3,-,A+B,A+B,"AARAN BLISS, OPP. RANNAPARK SOCIETY, GHATLODITYA, ABAD-380061",https://drive.google.com/open?id=1X6YYuczkdctatv574iAHXInT4rhJWJhb
21,CC128,BLNTI/WZ/110423/CGDCRV/A7459/R0/M1,08565/110423/A7459/R0/M1,6/28/2023,29 (NARANPURA),394/1,NA,NA,-,"SINDUR SPECTRUM, FP-394/1, OPP, SWASTIK ARCADE, NR. VARDAN TOWER, PRAGATINAGAR, NARANPURA, ABAD",https://drive.google.com/open?id=1OunY1Zaiaay2TDLNIyKosTMNWvmSUT6n
22,CC130,BHNTS/WZ/120723/CGDCRV/A7710/R1/M1,05943/120723/A7710/R1/M1,8/22/2024,29 (NARANPURA),394/2,NA,NA,-,"ARJUN ARENA, BEHIND NARANPURA SPORTS COMPLEX, PRAGATINGARA, NARANPURA, ABAD-380013",https://drive.google.com/open?id=1QhZ-XtMtVm1-_krdjoL2i2sQJcdZeuFs
23,CC131,BHNTI/WZ/060124/CGDCRV/A8073/R0/M1,06113/060124/A8073/R0/M1,10/22/2024,29 (NARANPURA),297/P,NA,A+B+C,A+B+C,"NIDHI APPARTMENT, B/S EKTA FESTIVAL, NARANPURA, ABAD",https://drive.google.com/open?id=1o4FRlVzVDB7B6ExPGg4XnbcjC0Glz2G3
24,CC133,BHNTI/191024/CGDCRV/A8778/R0/M1,06376/191024/A8778/R0/M1,1/20/2025,29 (NARANPURA),497,NA,A+B+C+D,A+B+C+D,"EKALAVYA, CHHTRAKOOT JAIN DERASAR, OPP DIVYAJYOT SCHOOL, NARANPURA, ABAD",https://drive.google.com/open?id=1ysaS-fWP3jrgMWrvN4Sq-w3sCzpYqirW
25,CC136,BLNTI/NWZ/060324/CGDCRV/A8173/R0/M1,05861/060324/A8173/R0/M1,08-02-2024,29 (NARANPURA),524,NA,NA,-,"REAL WORLD, NEAR DIVYAPATH SCHOOL, MEMNAGAR, ABAD-380013",https://drive.google.com/open?id=18TnL63Kgp3-zNbAT9IcJ661iJPhlJO0G
26,CC139,BHNTI/WZ/190924/CGDCRV/A8623/R0/M1,06344/190924/A8423/R0/M1,1/22/2025,29 (NARANPURA),407,NA,A+B+C,-,"SINDUR ANALA, NR. ARJUN PARADISE, B/H. NARANPURA SPORT COMPLEX, ABAD-13",https://drive.google.com/open?id=1H8M7g8zpW1apYFnXujpxTj0LIMPC35kf
27,CC141,BLNTI/WZ/020424/CGDCRV/A8237/R0/M1,06136/020424/A8237/R0/M1,10/28/2024,29 (NARANPURA),77/P,NA,NA,-,"PATRAKAR COLONY NO.2 ASSOCIATION, B/H. PRAGATINAGAR GARDEN, NARANPURA ABAD-13",https://drive.google.com/open?id=1dbhIHB8egb3RChqH6ro5zgg3CRW-mt62
28,CC142,BHNTI/WZ/050624/CGDCRV/A8386 /R0/M1,06293/050624/A8386/R0/M1,12/16/2024,29 (NARANPURA),461+462,NA,A,(A) + (B) + (C),"AASTHAA MAGNOLIA, NR. AASTHAA SKY RISE, NR. BHUYANGDEV CROSS ROAD, SOLA ROAD, NARANPURA, ABAD-13",https://drive.google.com/open?id=1KwqyEiP0P9E3Lc9R5UEXfa-gtvmd1dIb
